observation_date,RSXFSN,CPIAUCSL
8/1/16,416410,240.545
9/1/16,394122,241.176
10/1/16,397328,241.741
11/1/16,413841,242.026
12/1/16,481923,242.637
1/1/17,369068,243.618
2/1/17,365596,244.006
3/1/17,423024,243.892
4/1/17,407275,244.193
5/1/17,434531,244.004
6/1/17,423102,244.163
7/1/17,416927,244.243
8/1/17,431816,245.183
9/1/17,412534,246.435
10/1/17,417757,246.626
11/1/17,441896,247.284
12/1/17,496688,247.805
1/1/18,389624,248.859
2/1/18,380456,249.529
3/1/18,444725,249.577
4/1/18,420206,250.227
5/1/18,464422,250.792
6/1/18,443762,251.018
7/1/18,441712,251.214
8/1/18,456103,251.663
9/1/18,417148,252.182
10/1/18,442154,252.772
11/1/18,459625,252.594
12/1/18,493444,252.767
1/1/19,399276,252.561
2/1/19,384814,253.319
3/1/19,446781,254.277
4/1/19,442504,255.233
5/1/19,475630,255.296
6/1/19,448131,255.213
7/1/19,461608,255.802
8/1/19,472933,256.036
9/1/19,428472,256.43
10/1/19,455157,257.155
11/1/19,467368,257.879
12/1/19,518796,258.63
1/1/20,417244,259.127
2/1/20,413857,259.25
3/1/20,425698,258.076
4/1/20,376261,256.032
5/1/20,461122,255.802
6/1/20,478936,257.042
7/1/20,492070,258.352
8/1/20,486727,259.316
9/1/20,473267,259.997
10/1/20,493034,260.319
11/1/20,490451,260.911
12/1/20,557046,262.045
1/1/21,461994,262.639
2/1/21,437538,263.573
3/1/21,560731,264.847
4/1/21,554610,266.625
5/1/21,565431,268.404
6/1/21,557682,270.71
7/1/21,552194,271.965
8/1/21,549895,272.752
9/1/21,528288,273.942
10/1/21,552729,276.528
11/1/21,573608,278.824
12/1/21,625145,280.806
1/1/22,514659,282.542
2/1/22,505128,284.525
3/1/22,595064,287.467
4/1/22,592577,288.582
5/1/22,612080,291.299
6/1/22,605074,295.072
7/1/22,595135,294.94
8/1/22,608423,295.162
9/1/22,572457,296.421
10/1/22,591560,297.979
11/1/22,599732,298.708
12/1/22,649106,298.808
1/1/23,545318,300.456
2/1/23,526218,301.476
3/1/23,600348,301.643
4/1/23,584626,302.858
5/1/23,627266,303.316
6/1/23,608430,304.099
7/1/23,601631,304.615
8/1/23,624457,306.138
9/1/23,589258,307.374
10/1/23,604435,307.653
11/1/23,619189,308.087
12/1/23,668957,308.735
1/1/24,552441,309.794
2/1/24,555528,311.022
3/1/24,609462,312.107
4/1/24,605419,313.016
5/1/24,643843,313.14
6/1/24,604360,313.131
7/1/24,629309,313.566
8/1/24,633664,314.131
9/1/24,589777,314.851
10/1/24,633013,315.564
11/1/24,641949,316.449
12/1/24,703832,317.603
1/1/25,576061,319.086
2/1/25,551844,319.775
