,sheet,fte,nj,after,njafter,dfte
58,35,28.25,1.0,0.0,0.0,
59,35,22.0,1.0,1.0,1.0,-6.25
60,36,14.0,1.0,0.0,0.0,
61,36,27.5,1.0,1.0,1.0,13.5
62,37,25.5,0.0,0.0,0.0,
63,37,18.5,0.0,1.0,0.0,-7.0
64,38,25.0,1.0,0.0,0.0,
65,38,20.0,1.0,1.0,1.0,-5.0
66,40,20.0,0.0,0.0,0.0,
67,40,19.5,0.0,1.0,0.0,-0.5
68,41,13.5,0.0,0.0,0.0,
69,41,21.0,0.0,1.0,0.0,7.5
70,42,19.0,0.0,0.0,0.0,
71,42,11.0,0.0,1.0,0.0,-8.0
72,45,12.0,0.0,0.0,0.0,
73,45,17.0,0.0,1.0,0.0,5.0
74,48,16.0,0.0,0.0,0.0,
75,48,20.0,0.0,1.0,0.0,4.0
76,50,11.0,0.0,0.0,0.0,
77,50,14.0,0.0,1.0,0.0,3.0
78,51,7.5,0.0,0.0,0.0,
79,51,13.5,0.0,1.0,0.0,6.0
80,56,30.0,0.0,0.0,0.0,
81,56,18.0,0.0,1.0,0.0,-12.0
82,57,35.0,0.0,0.0,0.0,
83,57,16.0,0.0,1.0,0.0,-19.0
84,58,20.5,0.0,0.0,0.0,
85,58,14.0,0.0,1.0,0.0,-6.5
86,59,7.5,0.0,0.0,0.0,
87,59,8.0,0.0,1.0,0.0,0.5
88,60,20.0,0.0,0.0,0.0,
89,60,20.0,0.0,1.0,0.0,0.0
90,61,19.0,0.0,0.0,0.0,
91,61,29.5,0.0,1.0,0.0,10.5
92,64,27.5,1.0,0.0,0.0,
93,64,19.5,1.0,1.0,1.0,-8.0
94,66,24.0,1.0,0.0,0.0,
95,66,31.0,1.0,1.0,1.0,7.0
96,67,12.5,1.0,0.0,0.0,
97,67,12.75,1.0,1.0,1.0,0.25
98,68,35.0,1.0,0.0,0.0,
99,68,21.5,1.0,1.0,1.0,-13.5
100,69,13.5,1.0,0.0,0.0,
101,69,13.5,1.0,1.0,1.0,0.0
102,70,45.0,1.0,0.0,0.0,
103,70,25.0,1.0,1.0,1.0,-20.0
104,71,17.5,1.0,0.0,0.0,
105,71,36.0,1.0,1.0,1.0,18.5
106,73,3.5,1.0,0.0,0.0,
107,73,14.0,1.0,1.0,1.0,10.5
108,75,10.5,1.0,0.0,0.0,
109,75,9.5,1.0,1.0,1.0,-1.0
110,76,24.0,1.0,0.0,0.0,
111,76,32.5,1.0,1.0,1.0,8.5
112,77,31.0,1.0,0.0,0.0,
113,77,34.0,1.0,1.0,1.0,3.0
114,78,18.0,1.0,0.0,0.0,
115,78,16.0,1.0,1.0,1.0,-2.0
116,79,18.5,1.0,0.0,0.0,
117,79,17.0,1.0,1.0,1.0,-1.5
118,81,31.5,1.0,0.0,0.0,
119,81,22.5,1.0,1.0,1.0,-9.0
120,82,15.25,1.0,0.0,0.0,
121,82,29.0,1.0,1.0,1.0,13.75
122,84,19.0,1.0,0.0,0.0,
123,84,27.0,1.0,1.0,1.0,8.0
124,85,17.0,1.0,0.0,0.0,
125,85,17.5,1.0,1.0,1.0,0.5
126,86,16.5,1.0,0.0,0.0,
127,86,15.0,1.0,1.0,1.0,-1.5
128,88,20.5,1.0,0.0,0.0,
129,88,22.5,1.0,1.0,1.0,2.0
130,89,13.0,1.0,0.0,0.0,
131,89,18.5,1.0,1.0,1.0,5.5
132,91,19.0,1.0,0.0,0.0,
133,91,15.0,1.0,1.0,1.0,-4.0
134,92,13.0,1.0,0.0,0.0,
135,92,17.0,1.0,1.0,1.0,4.0
136,93,17.5,1.0,0.0,0.0,
137,93,17.5,1.0,1.0,1.0,0.0
138,94,12.5,1.0,0.0,0.0,
139,94,12.0,1.0,1.0,1.0,-0.5
140,95,19.5,1.0,0.0,0.0,
141,95,7.0,1.0,1.0,1.0,-12.5
142,96,7.5,1.0,0.0,0.0,
143,96,7.5,1.0,1.0,1.0,0.0
144,97,6.0,1.0,0.0,0.0,
145,97,8.0,1.0,1.0,1.0,2.0
146,98,10.0,1.0,0.0,0.0,
147,98,9.5,1.0,1.0,1.0,-0.5
148,99,80.0,1.0,0.0,0.0,
149,99,55.0,1.0,1.0,1.0,-25.0
150,101,12.0,1.0,0.0,0.0,
151,101,16.0,1.0,1.0,1.0,4.0
152,102,18.5,1.0,0.0,0.0,
153,102,13.5,1.0,1.0,1.0,-5.0
154,104,50.0,1.0,0.0,0.0,
155,104,16.0,1.0,1.0,1.0,-34.0
156,105,20.0,1.0,0.0,0.0,
157,105,22.5,1.0,1.0,1.0,2.5
158,106,17.5,1.0,0.0,0.0,
159,106,14.5,1.0,1.0,1.0,-3.0
160,107,11.5,1.0,0.0,0.0,
161,107,18.5,1.0,1.0,1.0,7.0
162,108,21.0,1.0,0.0,0.0,
163,108,23.0,1.0,1.0,1.0,2.0
164,111,24.0,1.0,0.0,0.0,
165,111,27.25,1.0,1.0,1.0,3.25
166,112,17.0,1.0,0.0,0.0,
167,112,17.5,1.0,1.0,1.0,0.5
168,114,17.5,1.0,0.0,0.0,
169,114,40.0,1.0,1.0,1.0,22.5
170,115,32.5,1.0,0.0,0.0,
171,115,13.5,1.0,1.0,1.0,-19.0
172,116,15.25,1.0,0.0,0.0,
173,116,28.0,1.0,1.0,1.0,12.75
174,118,17.5,1.0,0.0,0.0,
175,118,28.0,1.0,1.0,1.0,10.5
176,119,21.5,1.0,0.0,0.0,
177,119,24.5,1.0,1.0,1.0,3.0
178,120,16.0,1.0,0.0,0.0,
179,120,15.0,1.0,1.0,1.0,-1.0
180,122,20.0,1.0,0.0,0.0,
181,122,35.0,1.0,1.0,1.0,15.0
182,124,13.0,1.0,0.0,0.0,
183,124,24.0,1.0,1.0,1.0,11.0
184,125,15.0,1.0,0.0,0.0,
185,125,7.5,1.0,1.0,1.0,-7.5
186,128,10.25,1.0,0.0,0.0,
187,128,11.0,1.0,1.0,1.0,0.75
188,129,30.0,1.0,0.0,0.0,
189,129,16.0,1.0,1.0,1.0,-14.0
190,130,19.75,1.0,0.0,0.0,
191,130,21.0,1.0,1.0,1.0,1.25
192,131,27.5,1.0,0.0,0.0,
193,131,19.0,1.0,1.0,1.0,-8.5
194,132,30.0,1.0,0.0,0.0,
195,132,25.0,1.0,1.0,1.0,-5.0
196,133,14.0,1.0,0.0,0.0,
197,133,13.0,1.0,1.0,1.0,-1.0
198,134,18.0,1.0,0.0,0.0,
199,134,19.75,1.0,1.0,1.0,1.75
200,137,27.5,1.0,0.0,0.0,
201,137,27.0,1.0,1.0,1.0,-0.5
202,140,20.0,1.0,0.0,0.0,
203,140,22.5,1.0,1.0,1.0,2.5
204,141,17.5,1.0,0.0,0.0,
205,141,22.5,1.0,1.0,1.0,5.0
206,142,32.5,1.0,0.0,0.0,
207,142,55.5,1.0,1.0,1.0,23.0
208,144,25.0,1.0,0.0,0.0,
209,144,22.5,1.0,1.0,1.0,-2.5
210,145,13.5,1.0,0.0,0.0,
211,145,14.0,1.0,1.0,1.0,0.5
212,146,18.0,1.0,0.0,0.0,
213,146,16.0,1.0,1.0,1.0,-2.0
214,147,11.75,1.0,0.0,0.0,
215,147,6.0,1.0,1.0,1.0,-5.75
216,148,19.5,1.0,0.0,0.0,
217,148,22.5,1.0,1.0,1.0,3.0
218,149,10.0,1.0,0.0,0.0,
219,149,13.0,1.0,1.0,1.0,3.0
220,150,13.75,1.0,0.0,0.0,
221,150,22.0,1.0,1.0,1.0,8.25
222,152,42.5,1.0,0.0,0.0,
223,152,18.75,1.0,1.0,1.0,-23.75
224,156,15.5,1.0,0.0,0.0,
225,156,11.0,1.0,1.0,1.0,-4.5
226,157,12.5,1.0,0.0,0.0,
227,157,16.0,1.0,1.0,1.0,3.5
228,158,5.5,1.0,0.0,0.0,
229,158,5.0,1.0,1.0,1.0,-0.5
230,159,12.0,1.0,0.0,0.0,
231,159,12.5,1.0,1.0,1.0,0.5
232,161,20.5,1.0,0.0,0.0,
233,161,32.0,1.0,1.0,1.0,11.5
234,162,20.0,1.0,0.0,0.0,
235,162,18.0,1.0,1.0,1.0,-2.0
236,163,21.0,1.0,0.0,0.0,
237,163,18.0,1.0,1.0,1.0,-3.0
238,164,19.0,1.0,0.0,0.0,
239,164,12.5,1.0,1.0,1.0,-6.5
240,165,25.0,1.0,0.0,0.0,
241,165,18.5,1.0,1.0,1.0,-6.5
242,166,24.0,1.0,0.0,0.0,
243,166,17.5,1.0,1.0,1.0,-6.5
244,168,15.0,1.0,0.0,0.0,
245,168,16.0,1.0,1.0,1.0,1.0
246,169,28.5,1.0,0.0,0.0,
247,169,23.0,1.0,1.0,1.0,-5.5
248,170,20.0,1.0,0.0,0.0,
249,170,30.0,1.0,1.0,1.0,10.0
250,171,18.0,1.0,0.0,0.0,
251,171,16.25,1.0,1.0,1.0,-1.75
252,172,12.0,1.0,0.0,0.0,
253,172,18.5,1.0,1.0,1.0,6.5
254,173,26.0,1.0,0.0,0.0,
255,173,26.0,1.0,1.0,1.0,0.0
256,174,21.0,1.0,0.0,0.0,
257,174,30.0,1.0,1.0,1.0,9.0
258,176,25.5,1.0,0.0,0.0,
259,176,33.75,1.0,1.0,1.0,8.25
260,178,19.0,1.0,0.0,0.0,
261,178,6.0,1.0,1.0,1.0,-13.0
262,179,8.0,1.0,0.0,0.0,
263,179,7.0,1.0,1.0,1.0,-1.0
264,180,9.5,1.0,0.0,0.0,
265,180,8.75,1.0,1.0,1.0,-0.75
266,182,10.5,1.0,0.0,0.0,
267,182,7.5,1.0,1.0,1.0,-3.0
268,183,14.0,1.0,0.0,0.0,
269,183,20.0,1.0,1.0,1.0,6.0
270,185,6.5,1.0,0.0,0.0,
271,185,5.0,1.0,1.0,1.0,-1.5
272,186,20.0,1.0,0.0,0.0,
273,186,21.0,1.0,1.0,1.0,1.0
274,187,14.0,1.0,0.0,0.0,
275,187,13.75,1.0,1.0,1.0,-0.25
276,189,11.5,1.0,0.0,0.0,
277,189,9.5,1.0,1.0,1.0,-2.0
278,190,26.0,1.0,0.0,0.0,
279,190,22.0,1.0,1.0,1.0,-4.0
280,192,25.0,1.0,0.0,0.0,
281,192,19.5,1.0,1.0,1.0,-5.5
282,193,7.5,1.0,0.0,0.0,
283,193,8.5,1.0,1.0,1.0,1.0
284,195,15.0,1.0,0.0,0.0,
285,195,20.5,1.0,1.0,1.0,5.5
286,196,17.5,1.0,0.0,0.0,
287,196,15.0,1.0,1.0,1.0,-2.5
288,197,28.0,1.0,0.0,0.0,
289,197,15.5,1.0,1.0,1.0,-12.5
290,199,6.0,1.0,0.0,0.0,
291,199,12.5,1.0,1.0,1.0,6.5
292,200,30.0,1.0,0.0,0.0,
293,200,25.0,1.0,1.0,1.0,-5.0
294,201,16.5,1.0,0.0,0.0,
295,201,27.0,1.0,1.0,1.0,10.5
296,202,37.0,1.0,0.0,0.0,
297,202,18.5,1.0,1.0,1.0,-18.5
298,203,15.0,1.0,0.0,0.0,
299,203,21.0,1.0,1.0,1.0,6.0
300,204,14.25,1.0,0.0,0.0,
301,204,18.75,1.0,1.0,1.0,4.5
302,207,13.0,1.0,0.0,0.0,
303,207,11.5,1.0,1.0,1.0,-1.5
304,208,28.0,1.0,0.0,0.0,
305,208,21.0,1.0,1.0,1.0,-7.0
306,209,22.0,1.0,0.0,0.0,
307,209,24.5,1.0,1.0,1.0,2.5
308,210,9.5,1.0,0.0,0.0,
309,210,7.0,1.0,1.0,1.0,-2.5
310,211,17.0,1.0,0.0,0.0,
311,211,19.5,1.0,1.0,1.0,2.5
312,212,19.75,1.0,0.0,0.0,
313,212,27.5,1.0,1.0,1.0,7.75
314,213,14.5,1.0,0.0,0.0,
315,213,20.75,1.0,1.0,1.0,6.25
316,214,17.0,1.0,0.0,0.0,
317,214,17.5,1.0,1.0,1.0,0.5
318,215,15.0,1.0,0.0,0.0,
319,215,25.0,1.0,1.0,1.0,10.0
320,216,7.5,1.0,0.0,0.0,
321,216,11.0,1.0,1.0,1.0,3.5
322,217,8.5,1.0,0.0,0.0,
323,217,6.0,1.0,1.0,1.0,-2.5
324,218,9.0,1.0,0.0,0.0,
325,218,6.5,1.0,1.0,1.0,-2.5
326,219,7.5,1.0,0.0,0.0,
327,219,13.5,1.0,1.0,1.0,6.0
328,220,10.5,1.0,0.0,0.0,
329,220,9.0,1.0,1.0,1.0,-1.5
330,221,15.0,1.0,0.0,0.0,
331,221,8.5,1.0,1.0,1.0,-6.5
332,222,14.0,1.0,0.0,0.0,
333,222,9.5,1.0,1.0,1.0,-4.5
334,223,12.0,1.0,0.0,0.0,
335,223,13.0,1.0,1.0,1.0,1.0
336,225,16.5,1.0,0.0,0.0,
337,225,24.5,1.0,1.0,1.0,8.0
338,226,11.0,1.0,0.0,0.0,
339,226,13.0,1.0,1.0,1.0,2.0
340,228,17.25,1.0,0.0,0.0,
341,228,20.5,1.0,1.0,1.0,3.25
342,229,23.0,1.0,0.0,0.0,
343,229,27.5,1.0,1.0,1.0,4.5
344,230,12.5,1.0,0.0,0.0,
345,230,23.5,1.0,1.0,1.0,11.0
346,232,21.0,1.0,0.0,0.0,
347,232,23.0,1.0,1.0,1.0,2.0
348,233,22.5,1.0,0.0,0.0,
349,233,18.5,1.0,1.0,1.0,-4.0
350,234,5.0,1.0,0.0,0.0,
351,234,12.0,1.0,1.0,1.0,7.0
352,237,17.5,1.0,0.0,0.0,
353,237,17.5,1.0,1.0,1.0,0.0
354,238,11.0,1.0,0.0,0.0,
355,238,32.5,1.0,1.0,1.0,21.5
356,239,17.0,1.0,0.0,0.0,
357,239,9.5,1.0,1.0,1.0,-7.5
358,240,32.5,1.0,0.0,0.0,
359,240,22.5,1.0,1.0,1.0,-10.0
360,242,30.0,1.0,0.0,0.0,
361,242,17.0,1.0,1.0,1.0,-13.0
362,243,19.5,1.0,0.0,0.0,
363,243,18.0,1.0,1.0,1.0,-1.5
364,244,27.0,1.0,0.0,0.0,
365,244,22.0,1.0,1.0,1.0,-5.0
366,245,19.0,1.0,0.0,0.0,
367,245,14.0,1.0,1.0,1.0,-5.0
368,247,20.0,1.0,0.0,0.0,
369,247,20.0,1.0,1.0,1.0,0.0
370,248,16.0,1.0,0.0,0.0,
371,248,17.0,1.0,1.0,1.0,1.0
372,249,9.0,1.0,0.0,0.0,
373,249,16.0,1.0,1.0,1.0,7.0
374,250,3.0,1.0,0.0,0.0,
375,250,4.0,1.0,1.0,1.0,1.0
376,253,10.5,1.0,0.0,0.0,
377,253,8.0,1.0,1.0,1.0,-2.5
378,258,15.0,1.0,0.0,0.0,
379,258,29.0,1.0,1.0,1.0,14.0
380,259,19.0,1.0,0.0,0.0,
381,259,22.5,1.0,1.0,1.0,3.5
382,260,20.0,1.0,0.0,0.0,
383,260,17.0,1.0,1.0,1.0,-3.0
384,262,13.5,1.0,0.0,0.0,
385,262,11.25,1.0,1.0,1.0,-2.25
386,264,5.0,1.0,0.0,0.0,
387,264,11.5,1.0,1.0,1.0,6.5
388,267,16.5,1.0,0.0,0.0,
389,267,42.5,1.0,1.0,1.0,26.0
390,268,19.0,1.0,0.0,0.0,
391,268,21.25,1.0,1.0,1.0,2.25
392,269,7.0,1.0,0.0,0.0,
393,269,11.5,1.0,1.0,1.0,4.5
394,271,6.5,1.0,0.0,0.0,
395,271,7.5,1.0,1.0,1.0,1.0
396,272,9.5,1.0,0.0,0.0,
397,272,9.0,1.0,1.0,1.0,-0.5
398,273,9.0,1.0,0.0,0.0,
399,273,7.5,1.0,1.0,1.0,-1.5
400,274,7.5,1.0,0.0,0.0,
401,274,6.5,1.0,1.0,1.0,-1.0
402,275,6.0,1.0,0.0,0.0,
403,275,5.0,1.0,1.0,1.0,-1.0
404,276,10.0,1.0,0.0,0.0,
405,276,12.5,1.0,1.0,1.0,2.5
406,277,9.5,1.0,0.0,0.0,
407,277,8.0,1.0,1.0,1.0,-1.5
408,278,5.0,1.0,0.0,0.0,
409,278,4.5,1.0,1.0,1.0,-0.5
410,284,16.5,1.0,0.0,0.0,
411,284,12.0,1.0,1.0,1.0,-4.5
412,285,15.5,1.0,0.0,0.0,
413,285,10.5,1.0,1.0,1.0,-5.0
414,286,8.5,1.0,0.0,0.0,
415,286,9.5,1.0,1.0,1.0,1.0
416,287,12.0,1.0,0.0,0.0,
417,287,9.5,1.0,1.0,1.0,-2.5
418,288,10.0,1.0,0.0,0.0,
419,288,9.5,1.0,1.0,1.0,-0.5
420,289,8.0,1.0,0.0,0.0,
421,289,8.0,1.0,1.0,1.0,0.0
422,290,14.0,1.0,0.0,0.0,
423,290,11.5,1.0,1.0,1.0,-2.5
424,291,14.0,1.0,0.0,0.0,
425,291,13.0,1.0,1.0,1.0,-1.0
426,292,17.5,1.0,0.0,0.0,
427,292,20.5,1.0,1.0,1.0,3.0
428,296,13.0,1.0,0.0,0.0,
429,296,8.5,1.0,1.0,1.0,-4.5
430,297,16.5,1.0,0.0,0.0,
431,297,30.0,1.0,1.0,1.0,13.5
432,299,7.0,1.0,0.0,0.0,
433,299,12.0,1.0,1.0,1.0,5.0
434,301,14.0,1.0,0.0,0.0,
435,301,5.5,1.0,1.0,1.0,-8.5
436,303,27.5,1.0,0.0,0.0,
437,303,29.5,1.0,1.0,1.0,2.0
438,304,20.0,1.0,0.0,0.0,
439,304,17.5,1.0,1.0,1.0,-2.5
440,305,10.0,1.0,0.0,0.0,
441,305,16.0,1.0,1.0,1.0,6.0
442,307,26.25,1.0,0.0,0.0,
443,307,37.5,1.0,1.0,1.0,11.25
444,310,14.0,1.0,0.0,0.0,
445,310,14.5,1.0,1.0,1.0,0.5
446,312,7.0,1.0,0.0,0.0,
447,312,4.0,1.0,1.0,1.0,-3.0
448,314,14.0,1.0,0.0,0.0,
449,314,18.0,1.0,1.0,1.0,4.0
450,316,22.5,1.0,0.0,0.0,
451,316,19.0,1.0,1.0,1.0,-3.5
452,317,4.0,1.0,0.0,0.0,
453,317,4.0,1.0,1.0,1.0,0.0
454,318,8.5,1.0,0.0,0.0,
455,318,10.0,1.0,1.0,1.0,1.5
456,319,5.5,1.0,0.0,0.0,
457,319,24.0,1.0,1.0,1.0,18.5
458,320,9.5,1.0,0.0,0.0,
459,320,7.0,1.0,1.0,1.0,-2.5
460,321,10.0,1.0,0.0,0.0,
461,321,9.5,1.0,1.0,1.0,-0.5
462,322,14.5,1.0,0.0,0.0,
463,322,14.5,1.0,1.0,1.0,0.0
464,324,43.0,1.0,0.0,0.0,
465,324,41.5,1.0,1.0,1.0,-1.5
466,325,11.5,1.0,0.0,0.0,
467,325,8.5,1.0,1.0,1.0,-3.0
468,326,40.5,1.0,0.0,0.0,
469,326,22.5,1.0,1.0,1.0,-18.0
470,330,12.0,1.0,0.0,0.0,
471,330,13.0,1.0,1.0,1.0,1.0
472,333,10.25,1.0,0.0,0.0,
473,333,13.0,1.0,1.0,1.0,2.75
474,334,15.0,1.0,0.0,0.0,
475,334,10.0,1.0,1.0,1.0,-5.0
476,336,34.0,1.0,0.0,0.0,
477,336,20.0,1.0,1.0,1.0,-14.0
478,337,19.75,1.0,0.0,0.0,
479,337,27.5,1.0,1.0,1.0,7.75
480,339,21.0,1.0,0.0,0.0,
481,339,9.5,1.0,1.0,1.0,-11.5
482,340,21.0,1.0,0.0,0.0,
483,340,23.5,1.0,1.0,1.0,2.5
484,341,5.5,1.0,0.0,0.0,
485,341,6.5,1.0,1.0,1.0,1.0
486,343,13.0,1.0,0.0,0.0,
487,343,9.5,1.0,1.0,1.0,-3.5
488,349,16.0,1.0,0.0,0.0,
489,349,10.0,1.0,1.0,1.0,-6.0
490,350,12.5,1.0,0.0,0.0,
491,350,15.0,1.0,1.0,1.0,2.5
492,351,15.75,1.0,0.0,0.0,
493,351,20.0,1.0,1.0,1.0,4.25
494,354,17.5,1.0,0.0,0.0,
495,354,12.5,1.0,1.0,1.0,-5.0
496,356,16.5,1.0,0.0,0.0,
497,356,14.0,1.0,1.0,1.0,-2.5
498,357,14.5,1.0,0.0,0.0,
499,357,24.0,1.0,1.0,1.0,9.5
500,359,11.0,1.0,0.0,0.0,
501,359,13.0,1.0,1.0,1.0,2.0
502,360,15.5,1.0,0.0,0.0,
503,360,21.0,1.0,1.0,1.0,5.5
504,361,12.5,1.0,0.0,0.0,
505,361,15.5,1.0,1.0,1.0,3.0
506,363,12.5,1.0,0.0,0.0,
507,363,17.5,1.0,1.0,1.0,5.0
508,364,13.5,1.0,0.0,0.0,
509,364,16.0,1.0,1.0,1.0,2.5
510,366,10.5,1.0,0.0,0.0,
511,366,10.5,1.0,1.0,1.0,0.0
512,368,10.0,1.0,0.0,0.0,
513,368,12.5,1.0,1.0,1.0,2.5
514,370,25.75,1.0,0.0,0.0,
515,370,28.5,1.0,1.0,1.0,2.75
516,371,23.5,1.0,0.0,0.0,
517,371,22.0,1.0,1.0,1.0,-1.5
518,373,20.0,1.0,0.0,0.0,
519,373,25.5,1.0,1.0,1.0,5.5
520,375,30.0,1.0,0.0,0.0,
521,375,12.5,1.0,1.0,1.0,-17.5
522,376,9.0,1.0,0.0,0.0,
523,376,8.5,1.0,1.0,1.0,-0.5
524,377,15.0,1.0,0.0,0.0,
525,377,17.0,1.0,1.0,1.0,2.0
526,378,14.0,1.0,0.0,0.0,
527,378,27.5,1.0,1.0,1.0,13.5
528,379,26.0,1.0,0.0,0.0,
529,379,31.0,1.0,1.0,1.0,5.0
530,380,17.5,1.0,0.0,0.0,
531,380,22.0,1.0,1.0,1.0,4.5
532,381,20.0,1.0,0.0,0.0,
533,381,22.5,1.0,1.0,1.0,2.5
534,383,8.0,1.0,0.0,0.0,
535,383,8.0,1.0,1.0,1.0,0.0
536,385,23.0,1.0,0.0,0.0,
537,385,22.0,1.0,1.0,1.0,-1.0
538,386,9.5,1.0,0.0,0.0,
539,386,19.0,1.0,1.0,1.0,9.5
540,391,17.5,1.0,0.0,0.0,
541,391,15.5,1.0,1.0,1.0,-2.0
542,393,9.0,1.0,0.0,0.0,
543,393,20.0,1.0,1.0,1.0,11.0
544,396,32.0,1.0,0.0,0.0,
545,396,23.0,1.0,1.0,1.0,-9.0
546,397,18.0,1.0,0.0,0.0,
547,397,13.5,1.0,1.0,1.0,-4.5
548,398,20.5,1.0,0.0,0.0,
549,398,32.5,1.0,1.0,1.0,12.0
550,399,17.0,1.0,0.0,0.0,
551,399,27.0,1.0,1.0,1.0,10.0
552,400,23.5,1.0,0.0,0.0,
553,400,20.0,1.0,1.0,1.0,-3.5
554,401,11.0,1.0,0.0,0.0,
555,401,18.5,1.0,1.0,1.0,7.5
556,402,16.0,1.0,0.0,0.0,
557,402,19.5,1.0,1.0,1.0,3.5
558,405,14.5,1.0,0.0,0.0,
559,405,9.0,1.0,1.0,1.0,-5.5
560,406,29.5,1.0,0.0,0.0,
561,406,28.0,1.0,1.0,1.0,-1.5
562,409,33.0,1.0,0.0,0.0,
563,409,7.5,1.0,1.0,1.0,-25.5
564,410,17.5,1.0,0.0,0.0,
565,410,17.5,1.0,1.0,1.0,0.0
566,411,18.0,1.0,0.0,0.0,
567,411,22.0,1.0,1.0,1.0,4.0
568,412,8.5,1.0,0.0,0.0,
569,412,6.5,1.0,1.0,1.0,-2.0
570,413,18.0,1.0,0.0,0.0,
571,413,10.0,1.0,1.0,1.0,-8.0
572,414,18.0,1.0,0.0,0.0,
573,414,17.5,1.0,1.0,1.0,-0.5
574,415,24.0,1.0,0.0,0.0,
575,415,19.0,1.0,1.0,1.0,-5.0
576,417,18.0,1.0,0.0,0.0,
577,417,21.5,1.0,1.0,1.0,3.5
578,418,37.5,1.0,0.0,0.0,
579,418,17.5,1.0,1.0,1.0,-20.0
580,419,8.0,1.0,0.0,0.0,
581,419,7.5,1.0,1.0,1.0,-0.5
582,421,25.0,1.0,0.0,0.0,
583,421,28.5,1.0,1.0,1.0,3.5
584,422,3.5,1.0,0.0,0.0,
585,422,10.0,1.0,1.0,1.0,6.5
586,423,7.0,1.0,0.0,0.0,
587,423,20.75,1.0,1.0,1.0,13.75
588,424,6.75,1.0,0.0,0.0,
589,424,13.5,1.0,1.0,1.0,6.75
590,426,19.5,1.0,0.0,0.0,
591,426,17.5,1.0,1.0,1.0,-2.0
592,427,11.0,1.0,0.0,0.0,
593,427,17.5,1.0,1.0,1.0,6.5
594,428,16.5,1.0,0.0,0.0,
595,428,22.0,1.0,1.0,1.0,5.5
596,430,32.5,0.0,0.0,0.0,
597,430,24.0,0.0,1.0,0.0,-8.5
598,432,47.5,0.0,0.0,0.0,
599,432,30.0,0.0,1.0,0.0,-17.5
600,434,40.0,0.0,0.0,0.0,
601,434,33.5,0.0,1.0,0.0,-6.5
602,435,19.75,0.0,0.0,0.0,
603,435,16.0,0.0,1.0,0.0,-3.75
604,438,4.5,0.0,0.0,0.0,
605,438,6.5,0.0,1.0,0.0,2.0
606,441,35.0,0.0,0.0,0.0,
607,441,15.0,0.0,1.0,0.0,-20.0
608,443,13.5,0.0,0.0,0.0,
609,443,15.0,0.0,1.0,0.0,1.5
610,444,22.0,0.0,0.0,0.0,
611,444,27.5,0.0,1.0,0.0,5.5
612,445,67.5,0.0,0.0,0.0,
